largest_property_use_type_-_gross_floor_area_(ft),energy_star_score,source_eui_(kbtu/ft),weather_normalized_source_eui_(kbtu/ft),site_eui_(kbtu/ft),weather_normalized_site_eui_(kbtu/ft),weather_normalized_site_electricity_intensity_(kwh/ft),weather_normalized_site_natural_gas_intensity_(therms/ft),natural_gas_use_(kbtu),weather_normalized_site_natural_gas_use_(therms),electricity_use_-_grid_purchase_(kwh),weather_normalized_site_electricity_(kwh),total_ghg_emissions_(metric_tons_co2e),direct_ghg_emissions_(metric_tons_co2e),indirect_ghg_emissions_(metric_tons_co2e),occupancy,number_of_buildings,self-reported_gross_floor_area_(ft),age,primary_property_type_-_self_selected,postal_code,largest_property_use_type,metered_areas_(energy),borough,AddressNumber,StreetName,label_for_target_var
74052.0,12.0,153.3,,112.2,,5.0,1.0,7055983.3,75487.0,368176.3,367130.0,486.2,374.8,111.4,100,1,74052,61,Multifamily Housing,11373,Multifamily Housing,Whole Building,Queens,42-26,81ST,0
37765.0,23.0,125.8,129.7,82.8,86.4,6.5,0.6,2291199.7,24243.9,245307.4,246119.1,192.6,121.7,70.9,95,1,37765,21,Multifamily Housing,11208,Multifamily Housing,Whole Building,Brooklyn,1101,Eldert,0
2287616.0,48.0,441.4,446.1,252.0,257.5,24.6,1.7,383013875.8,3968616.8,56706685.7,56352181.0,37497.8,20343.7,17154.1,100,12,2453616,93,Hospital (General Medical & Surgical),11203,Hospital (General Medical & Surgical),Whole Building,Brooklyn,547,Winthrop,1
4838.0,7.0,858.2,911.5,637.6,691.6,34.8,0.2,91743.3,928.7,169083.6,168126.8,233.0,184.2,48.9,100,1,4838,73,Multifamily Housing,10022,Multifamily Housing,Whole Building,Manhattan,315,56th,0
78983.0,49.0,107.0,111.4,71.3,75.6,5.4,0.6,4188056.3,45211.3,424072.5,424072.5,345.0,222.4,122.5,95,1,78983,87,Multifamily Housing,10456,Multifamily Housing,NA,Bronx,1212,Grant,1
129465.0,65.0,130.2,131.8,62.5,65.0,10.8,0.0,1812.1,20.4,1420818.6,1401435.8,651.3,240.8,410.6,95,1,129465,103,Office,10018,Office,Whole Building,Manhattan,15,37th,1
65018.0,45.0,124.2,130.0,80.4,86.0,6.7,0.6,3752100.2,41136.8,432895.2,432895.2,324.4,199.3,125.1,100,1,65018,123,Multifamily Housing,10035,Multifamily Housing,Whole Building,Manhattan,165,118th,1
230837.0,9.0,196.0,204.7,84.7,87.9,15.8,0.3,7707721.1,78756.4,3468671.2,3639394.4,1458.7,409.4,1049.3,100,1,230837,48,Multifamily Housing,11224,Multifamily Housing,Whole Building,Brooklyn,2920-2962,21,0
153804.0,100.0,39.9,,18.7,,3.4,0.0,658857.6,6588.6,523224.2,523224.2,219.2,68.0,151.2,100,1,153804,59,Multifamily Housing,10462,Multifamily Housing,Whole Building,Bronx,2121,Paulding,2
363572.0,84.0,157.8,158.7,52.9,53.7,14.2,,,,5404710.2,5404710.2,1744.7,0.0,1744.7,100,1,379572,101,Office,10005,Office,Whole Building,Manhattan,100,Broadway,2
76453.0,63.0,122.0,129.8,93.5,100.4,4.6,0.0,194836.7,1948.4,343858.2,354256.8,544.9,445.5,99.4,100,1,79040,85,Multifamily Housing,10025,Multifamily Housing,Whole Building,Manhattan,780,End,1
49500.0,64.0,96.7,99.8,53.8,57.3,6.6,0.3,1528300.0,17121.2,333000.0,328982.1,177.4,81.2,96.2,100,1,49500,15,Multifamily Housing,10030,Multifamily Housing,Whole Building,Manhattan,138,140th,1
92588.0,99.0,60.7,60.8,34.3,34.4,4.1,0.2,1872645.3,18726.5,382884.7,383763.8,210.1,99.5,110.6,100,1,92588,96,Multifamily Housing,10468,Multifamily Housing,Whole Building,Bronx,2435,Creston,2
